Angle,Distance,Status
58,165,No Obstacle
57,165,No Obstacle
56,62,No Obstacle
55,165,No Obstacle
54,61,No Obstacle
53,166,No Obstacle
52,165,No Obstacle
51,158,No Obstacle
50,166,No Obstacle
49,165,No Obstacle
48,158,No Obstacle
47,162,No Obstacle
46,165,No Obstacle
45,157,No Obstacle
44,159,No Obstacle
43,162,No Obstacle
42,157,No Obstacle
41,160,No Obstacle
40,160,No Obstacle
39,157,No Obstacle
38,159,No Obstacle
37,157,No Obstacle
36,153,No Obstacle
35,159,No Obstacle
34,157,No Obstacle
33,152,No Obstacle
32,160,No Obstacle
31,151,No Obstacle
30,151,No Obstacle
29,160,No Obstacle
28,149,No Obstacle
27,158,No Obstacle
26,158,No Obstacle
25,150,No Obstacle
24,158,No Obstacle
23,151,No Obstacle
22,151,No Obstacle
21,159,No Obstacle
20,157,No Obstacle
19,159,No Obstacle
18,161,No Obstacle
17,150,No Obstacle
16,151,No Obstacle
15,162,No Obstacle
14,149,No Obstacle
13,160,No Obstacle
12,21,No Obstacle
11,20,No Obstacle
10,20,No Obstacle
9,20,No Obstacle
8,19,No Obstacle
7,20,No Obstacle
6,19,No Obstacle
5,19,No Obstacle
4,19,No Obstacle
3,18,No Obstacle
2,19,No Obstacle
1,18,No Obstacle
0,18,No Obstacle
1,18,No Obstacle
2,18,No Obstacle
3,19,No Obstacle
4,18,No Obstacle
5,18,No Obstacle
6,18,No Obstacle
7,18,No Obstacle
8,18,No Obstacle
9,18,No Obstacle
10,18,No Obstacle
11,18,No Obstacle
12,18,No Obstacle
13,18,No Obstacle
14,19,No Obstacle
15,18,No Obstacle
16,18,No Obstacle
17,19,No Obstacle
18,19,No Obstacle
19,19,No Obstacle
20,19,No Obstacle
21,19,No Obstacle
22,19,No Obstacle
23,20,No Obstacle
24,19,No Obstacle
25,20,No Obstacle
26,20,No Obstacle
27,22,No Obstacle
28,229,No Obstacle
29,151,No Obstacle
30,152,No Obstacle
31,160,No Obstacle
32,149,No Obstacle
33,159,No Obstacle
34,159,No Obstacle
35,151,No Obstacle
36,159,No Obstacle
37,159,No Obstacle
38,152,No Obstacle
39,159,No Obstacle
40,151,No Obstacle
41,153,No Obstacle
42,162,No Obstacle
43,151,No Obstacle
44,152,No Obstacle
45,158,No Obstacle
46,149,No Obstacle
47,160,No Obstacle
48,159,No Obstacle
49,156,No Obstacle
50,159,No Obstacle
51,157,No Obstacle
52,156,No Obstacle
53,160,No Obstacle
54,153,No Obstacle
55,159,No Obstacle
56,160,No Obstacle
57,158,No Obstacle
58,160,No Obstacle
59,166,No Obstacle
60,159,No Obstacle
61,162,No Obstacle
62,166,No Obstacle
63,165,No Obstacle
64,160,No Obstacle
65,166,No Obstacle
66,165,No Obstacle
67,161,No Obstacle
68,166,No Obstacle
69,165,No Obstacle
70,165,No Obstacle
71,166,No Obstacle
72,165,No Obstacle
73,165,No Obstacle
74,61,No Obstacle
75,166,No Obstacle
76,165,No Obstacle
77,165,No Obstacle
78,166,No Obstacle
79,62,No Obstacle
80,61,No Obstacle
81,166,No Obstacle
82,165,No Obstacle
83,165,No Obstacle
84,165,No Obstacle
85,63,No Obstacle
86,166,No Obstacle
87,165,No Obstacle
88,165,No Obstacle
89,18,No Obstacle
90,16,No Obstacle
91,18,No Obstacle
92,15,Obstacle
93,15,Obstacle
94,14,Obstacle
95,14,Obstacle
